data_publicacao,palavra_analisada,frequencia
1707,levado,14
1707,luis,14
1707,mandar,14
1707,morreria,14
1707,máos,14
1707,nariz,14
1707,nelles,14
1707,nephriticas,14
1707,nomear,14
1707,ordem,14
1707,particulares,14
1707,passou,14
1707,perdem,14
1707,picadas,14
1707,podre,14
1707,pontualmente,14
1707,porco,14
1707,preceitos,14
1707,presentaneo,14
1707,pressa,14
1707,procederem,14
1707,querem,14
1707,querer,14
1707,referidas,14
1707,respiração,14
1707,ruibarbo,14
1707,sei,14
1707,senhores,14
1707,sentir,14
1707,serosos,14
1707,silencio,14
1707,surdez,14
1707,total,14
1707,trigo,14
1707,tumor,14
1707,turbith,14
1707,ultimamente,14
1707,unturas,14
1707,vehemencia,14
1707,venenosa,14
1707,verdadeiros,14
1707,vio,14
1707,vitriolo,14
1707,volatil,14
1707,abundancia,13
1707,accidente,13
1707,achava,13
1707,ajuntei,13
1707,almecega,13
1707,alta,13
1707,applique,13
1707,aproveitaõ,13
1707,ardentes,13
1707,authoridade,13
1707,avenca,13
1707,avicenna,13
1707,azedo,13
1707,azedume,13
1707,azevre,13
1707,baldados,13
1707,bastante,13
1707,cear,13
1707,chylo,13
1707,colerico,13
1707,conhece,13
1707,continuo,13
1707,cremores,13
1707,crocus,13
1707,culpa,13
1707,curallo,13
1707,curasse,13
1707,dandolhes,13
1707,deitarem,13
1707,descarga,13
1707,difficultosa,13
1707,direito,13
1707,disto,13
1707,dizivel,13
1707,durezas,13
1707,espero,13
1707,esquerdo,13
1707,faculdade,13
1707,fallar,13
1707,fallo,13
1707,faltava,13
1707,faltos,13
1707,favor,13
1707,ficaõ,13
1707,final,13
1707,fixa,13
1707,frescos,13
1707,fuligens,13
1707,gral,13
1707,incenso,13
1707,infallivelmente,13
1707,inflammações,13
1707,largo,13
1707,lembrou,13
1707,levar,13
1707,lisboa,13
1707,livros,13
1707,lume,13
1707,macho,13
1707,machucada,13
1707,maravilhosa,13
1707,martis,13
1707,medicinas,13
1707,misturar,13
1707,mortas,13
1707,mãy,13
1707,nomes,13
1707,obraõ,13
1707,obrou,13
1707,occultas,13
1707,papel,13
1707,perdiz,13
1707,poterio,13
1707,precisamente,13
1707,primeiros,13
1707,proprio,13
1707,pulso,13
1707,purgando,13
1707,quarta,13
1707,quarto,13
1707,queixava,13
1707,raras,13
1707,sahe,13
1707,seca,13
1707,sepultura,13
1707,sezaõ,13
1707,soro,13
1707,subtilissimamente,13
1707,suor,13
1707,temi,13
1707,terras,13
1707,tira,13
1707,tirada,13
1707,tiraõ,13
1707,tripas,13
1707,usando,13
1707,valer,13
1707,verdadeira,13
1707,virmos,13
1707,volvulo,13
1707,vomito,13
1707,zelo,13
1707,abobora,12
1707,acabado,12
1707,acha,12
1707,admiraçaõ,12
1707,alcaçuz,12
1707,algũa,12
1707,ametade,12
1707,amor,12
1707,applicassem,12
1707,appliquem,12
1707,area,12
1707,bagas,12
